localTime,refTime,TPS,TxnCount,BlockCount
04 Jul 2025 13:35:11,00:00:00:01,0,0,1
04 Jul 2025 13:35:12,00:00:00:02,0,0,1
04 Jul 2025 13:35:13,00:00:00:03,0,0,1
04 Jul 2025 13:35:14,00:00:00:04,0,0,1
04 Jul 2025 13:35:15,00:00:00:05,0,0,1
04 Jul 2025 13:35:16,00:00:00:06,0,0,1
04 Jul 2025 13:35:17,00:00:00:07,0,0,1
04 Jul 2025 13:35:18,00:00:00:08,0,0,1
04 Jul 2025 13:35:19,00:00:00:09,0,0,1
04 Jul 2025 13:35:20,00:00:00:10,0,0,1
04 Jul 2025 13:35:21,00:00:00:11,0,0,1
04 Jul 2025 13:35:22,00:00:00:12,0,0,1
04 Jul 2025 13:35:23,00:00:00:13,0,0,1
04 Jul 2025 13:35:24,00:00:00:14,0,0,1
04 Jul 2025 13:35:25,00:00:00:15,0,0,1
04 Jul 2025 13:35:26,00:00:00:16,0,0,1
04 Jul 2025 13:35:27,00:00:00:17,0,0,1
04 Jul 2025 13:35:28,00:00:00:18,0,0,1
04 Jul 2025 13:35:29,00:00:00:19,0,0,1
04 Jul 2025 13:35:30,00:00:00:20,0,14,2
04 Jul 2025 13:35:31,00:00:00:21,0,14,2
04 Jul 2025 13:35:32,00:00:00:22,0,14,2
04 Jul 2025 13:35:33,00:00:00:23,0,14,2
04 Jul 2025 13:35:34,00:00:00:24,0,14,2
04 Jul 2025 13:35:35,00:00:00:25,0,14,2
04 Jul 2025 13:35:36,00:00:00:26,0,14,2
04 Jul 2025 13:35:37,00:00:00:27,0,14,2
04 Jul 2025 13:35:38,00:00:00:28,0,14,2
04 Jul 2025 13:35:39,00:00:00:29,0,14,2
04 Jul 2025 13:35:40,00:00:00:30,0,14,2
04 Jul 2025 13:35:41,00:00:00:31,0,14,2
04 Jul 2025 13:35:42,00:00:00:32,0,14,2
04 Jul 2025 13:35:43,00:00:00:33,0,14,2
04 Jul 2025 13:35:44,00:00:00:34,0,14,2
04 Jul 2025 13:35:45,00:00:00:35,0,14,2
04 Jul 2025 13:35:46,00:00:00:36,0,14,2
04 Jul 2025 13:35:47,00:00:00:37,0,14,2
04 Jul 2025 13:35:48,00:00:00:38,0,14,2
04 Jul 2025 13:35:49,00:00:00:39,0,14,2
04 Jul 2025 13:35:50,00:00:00:40,0,14,2
04 Jul 2025 13:35:51,00:00:00:41,0,14,2
04 Jul 2025 13:35:52,00:00:00:42,0,14,2
